date,Unidades vendidas,unidadesVendidas_diff,t+0,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12
2018-02-28,128962.95,-69355.37000000001,128962.95,198318.32,112143.55,129913.05,127508.61,125392.2,134656.4,149060.5,130230.1,158511.82,119257.5,144805.6,112951.5
2018-03-31,193228.65,64265.7,193228.65,128962.95,198318.32,112143.55,129913.05,127508.61,125392.2,134656.4,149060.5,130230.1,158511.82,119257.5,144805.6
2018-04-30,144842.45,-48386.19999999998,144842.45,193228.65,128962.95,198318.32,112143.55,129913.05,127508.61,125392.2,134656.4,149060.5,130230.1,158511.82,119257.5
2018-05-31,150885.6,6043.149999999994,150885.6,144842.45,193228.65,128962.95,198318.32,112143.55,129913.05,127508.61,125392.2,134656.4,149060.5,130230.1,158511.82
2018-06-30,157715.95,6830.350000000006,157715.95,150885.6,144842.45,193228.65,128962.95,198318.32,112143.55,129913.05,127508.61,125392.2,134656.4,149060.5,130230.1
2018-07-31,146994.35,-10721.600000000006,146994.35,157715.95,150885.6,144842.45,193228.65,128962.95,198318.32,112143.55,129913.05,127508.61,125392.2,134656.4,149060.5
2018-08-31,156536.55,9542.199999999983,156536.55,146994.35,157715.95,150885.6,144842.45,193228.65,128962.95,198318.32,112143.55,129913.05,127508.61,125392.2,134656.4
2018-09-30,140931.65,-15604.899999999994,140931.65,156536.55,146994.35,157715.95,150885.6,144842.45,193228.65,128962.95,198318.32,112143.55,129913.05,127508.61,125392.2
2018-10-31,117268.13,-23663.51999999999,117268.13,140931.65,156536.55,146994.35,157715.95,150885.6,144842.45,193228.65,128962.95,198318.32,112143.55,129913.05,127508.61
2018-11-30,127367.58,10099.449999999997,127367.58,117268.13,140931.65,156536.55,146994.35,157715.95,150885.6,144842.45,193228.65,128962.95,198318.32,112143.55,129913.05
2018-12-31,122883.2,-4484.380000000005,122883.2,127367.58,117268.13,140931.65,156536.55,146994.35,157715.95,150885.6,144842.45,193228.65,128962.95,198318.32,112143.55
2019-01-31,185099.6,62216.40000000001,185099.6,122883.2,127367.58,117268.13,140931.65,156536.55,146994.35,157715.95,150885.6,144842.45,193228.65,128962.95,198318.32
2019-02-28,127860.34,-57239.26000000001,127860.34,185099.6,122883.2,127367.58,117268.13,140931.65,156536.55,146994.35,157715.95,150885.6,144842.45,193228.65,128962.95
2019-03-31,150710.9,22850.559999999998,150710.9,127860.34,185099.6,122883.2,127367.58,117268.13,140931.65,156536.55,146994.35,157715.95,150885.6,144842.45,193228.65
2019-04-30,159091.45,8380.550000000017,159091.45,150710.9,127860.34,185099.6,122883.2,127367.58,117268.13,140931.65,156536.55,146994.35,157715.95,150885.6,144842.45
2019-05-31,155651.1,-3440.350000000006,155651.1,159091.45,150710.9,127860.34,185099.6,122883.2,127367.58,117268.13,140931.65,156536.55,146994.35,157715.95,150885.6
2019-06-30,130301.8,-25349.300000000003,130301.8,155651.1,159091.45,150710.9,127860.34,185099.6,122883.2,127367.58,117268.13,140931.65,156536.55,146994.35,157715.95
2019-07-31,157730.95,27429.15000000001,157730.95,130301.8,155651.1,159091.45,150710.9,127860.34,185099.6,122883.2,127367.58,117268.13,140931.65,156536.55,146994.35
2019-08-31,132648.0,-25082.95000000001,132648.0,157730.95,130301.8,155651.1,159091.45,150710.9,127860.34,185099.6,122883.2,127367.58,117268.13,140931.65,156536.55
2019-09-30,176758.0,44110.0,176758.0,132648.0,157730.95,130301.8,155651.1,159091.45,150710.9,127860.34,185099.6,122883.2,127367.58,117268.13,140931.65
2019-10-31,136797.0,-39961.0,136797.0,176758.0,132648.0,157730.95,130301.8,155651.1,159091.45,150710.9,127860.34,185099.6,122883.2,127367.58,117268.13
2019-11-30,157798.0,21001.0,157798.0,136797.0,176758.0,132648.0,157730.95,130301.8,155651.1,159091.45,150710.9,127860.34,185099.6,122883.2,127367.58
2019-12-31,149276.0,-8522.0,149276.0,157798.0,136797.0,176758.0,132648.0,157730.95,130301.8,155651.1,159091.45,150710.9,127860.34,185099.6,122883.2
2020-01-31,199140.0,49864.0,199140.0,149276.0,157798.0,136797.0,176758.0,132648.0,157730.95,130301.8,155651.1,159091.45,150710.9,127860.34,185099.6
2020-02-29,148135.0,-51005.0,148135.0,199140.0,149276.0,157798.0,136797.0,176758.0,132648.0,157730.95,130301.8,155651.1,159091.45,150710.9,127860.34
2020-03-31,103351.0,-44784.0,103351.0,148135.0,199140.0,149276.0,157798.0,136797.0,176758.0,132648.0,157730.95,130301.8,155651.1,159091.45,150710.9
2020-04-30,50524.0,-52827.0,50524.0,103351.0,148135.0,199140.0,149276.0,157798.0,136797.0,176758.0,132648.0,157730.95,130301.8,155651.1,159091.45
2020-05-31,155630.0,105106.0,155630.0,50524.0,103351.0,148135.0,199140.0,149276.0,157798.0,136797.0,176758.0,132648.0,157730.95,130301.8,155651.1
2020-06-30,222686.0,67056.0,222686.0,155630.0,50524.0,103351.0,148135.0,199140.0,149276.0,157798.0,136797.0,176758.0,132648.0,157730.95,130301.8
2020-07-31,246856.0,24170.0,246856.0,222686.0,155630.0,50524.0,103351.0,148135.0,199140.0,149276.0,157798.0,136797.0,176758.0,132648.0,157730.95
2020-08-31,215442.0,-31414.0,215442.0,246856.0,222686.0,155630.0,50524.0,103351.0,148135.0,199140.0,149276.0,157798.0,136797.0,176758.0,132648.0
2020-09-30,253919.0,38477.0,253919.0,215442.0,246856.0,222686.0,155630.0,50524.0,103351.0,148135.0,199140.0,149276.0,157798.0,136797.0,176758.0
2020-10-31,243549.0,-10370.0,243549.0,253919.0,215442.0,246856.0,222686.0,155630.0,50524.0,103351.0,148135.0,199140.0,149276.0,157798.0,136797.0
2020-11-30,187382.0,-56167.0,187382.0,243549.0,253919.0,215442.0,246856.0,222686.0,155630.0,50524.0,103351.0,148135.0,199140.0,149276.0,157798.0
2020-12-31,223601.0,36219.0,223601.0,187382.0,243549.0,253919.0,215442.0,246856.0,222686.0,155630.0,50524.0,103351.0,148135.0,199140.0,149276.0
2021-01-31,247424.0,23823.0,247424.0,223601.0,187382.0,243549.0,253919.0,215442.0,246856.0,222686.0,155630.0,50524.0,103351.0,148135.0,199140.0
2021-02-28,210896.0,-36528.0,210896.0,247424.0,223601.0,187382.0,243549.0,253919.0,215442.0,246856.0,222686.0,155630.0,50524.0,103351.0,148135.0
2021-03-31,258801.0,47905.0,258801.0,210896.0,247424.0,223601.0,187382.0,243549.0,253919.0,215442.0,246856.0,222686.0,155630.0,50524.0,103351.0
2021-04-30,203698.0,-55103.0,203698.0,258801.0,210896.0,247424.0,223601.0,187382.0,243549.0,253919.0,215442.0,246856.0,222686.0,155630.0,50524.0
2021-05-31,216671.0,12973.0,216671.0,203698.0,258801.0,210896.0,247424.0,223601.0,187382.0,243549.0,253919.0,215442.0,246856.0,222686.0,155630.0
2021-06-30,201846.0,-14825.0,201846.0,216671.0,203698.0,258801.0,210896.0,247424.0,223601.0,187382.0,243549.0,253919.0,215442.0,246856.0,222686.0
2021-07-31,203618.0,1772.0,203618.0,201846.0,216671.0,203698.0,258801.0,210896.0,247424.0,223601.0,187382.0,243549.0,253919.0,215442.0,246856.0
2021-08-31,211210.0,7592.0,211210.0,203618.0,201846.0,216671.0,203698.0,258801.0,210896.0,247424.0,223601.0,187382.0,243549.0,253919.0,215442.0
2021-09-30,211482.0,272.0,211482.0,211210.0,203618.0,201846.0,216671.0,203698.0,258801.0,210896.0,247424.0,223601.0,187382.0,243549.0,253919.0
2021-10-31,205603.0,-5879.0,205603.0,211482.0,211210.0,203618.0,201846.0,216671.0,203698.0,258801.0,210896.0,247424.0,223601.0,187382.0,243549.0
2021-11-30,185296.0,-20307.0,185296.0,205603.0,211482.0,211210.0,203618.0,201846.0,216671.0,203698.0,258801.0,210896.0,247424.0,223601.0,187382.0
2021-12-31,175647.0,-9649.0,175647.0,185296.0,205603.0,211482.0,211210.0,203618.0,201846.0,216671.0,203698.0,258801.0,210896.0,247424.0,223601.0
2022-01-31,214606.0,38959.0,214606.0,175647.0,185296.0,205603.0,211482.0,211210.0,203618.0,201846.0,216671.0,203698.0,258801.0,210896.0,247424.0
2022-02-28,172014.0,-42592.0,172014.0,214606.0,175647.0,185296.0,205603.0,211482.0,211210.0,203618.0,201846.0,216671.0,203698.0,258801.0,210896.0
2022-03-31,230548.0,58534.0,230548.0,172014.0,214606.0,175647.0,185296.0,205603.0,211482.0,211210.0,203618.0,201846.0,216671.0,203698.0,258801.0
2022-04-30,213678.0,-16870.0,213678.0,230548.0,172014.0,214606.0,175647.0,185296.0,205603.0,211482.0,211210.0,203618.0,201846.0,216671.0,203698.0
2022-05-31,211260.0,-2418.0,211260.0,213678.0,230548.0,172014.0,214606.0,175647.0,185296.0,205603.0,211482.0,211210.0,203618.0,201846.0,216671.0
2022-06-30,169510.0,-41750.0,169510.0,211260.0,213678.0,230548.0,172014.0,214606.0,175647.0,185296.0,205603.0,211482.0,211210.0,203618.0,201846.0
2022-07-31,189770.0,20260.0,189770.0,169510.0,211260.0,213678.0,230548.0,172014.0,214606.0,175647.0,185296.0,205603.0,211482.0,211210.0,203618.0
2022-08-31,182645.0,-7125.0,182645.0,189770.0,169510.0,211260.0,213678.0,230548.0,172014.0,214606.0,175647.0,185296.0,205603.0,211482.0,211210.0
2022-09-30,179996.0,-2649.0,179996.0,182645.0,189770.0,169510.0,211260.0,213678.0,230548.0,172014.0,214606.0,175647.0,185296.0,205603.0,211482.0
2022-10-31,205159.0,25163.0,205159.0,179996.0,182645.0,189770.0,169510.0,211260.0,213678.0,230548.0,172014.0,214606.0,175647.0,185296.0,205603.0
2022-11-30,167330.0,-37829.0,167330.0,205159.0,179996.0,182645.0,189770.0,169510.0,211260.0,213678.0,230548.0,172014.0,214606.0,175647.0,185296.0
2022-12-31,192564.0,25234.0,192564.0,167330.0,205159.0,179996.0,182645.0,189770.0,169510.0,211260.0,213678.0,230548.0,172014.0,214606.0,175647.0
